"Reference","Value","Footprint","QUANTITY"
"C1,C2,C14,C17","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","4"
"C3,C5","0.33u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2"
"C4,C6,C9,C10,C15,C16,C19,C20,C22-C25,C27,C28","1u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","14"
"C7,C8","10p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2"
"C11,C12","33p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2"
"C13,C18","1n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2"
"C21,C26","68p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2"
"D1","12V_GREEN","LED_SMD:LED_1206_3216Metric","1"
"D2","-12V_RED","LED_SMD:LED_1206_3216Metric","1"
"D3-D6","BAT43W-V","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","4"
"IC1,IC2","AD633","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2"
"J1","Conn_01x23_Pin","Connector_PinHeader_2.54mm:PinHeader_1x23_P2.54mm_Vertical","1"
"J2","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","1"
"Q1","PMV250EPEA","Package_TO_SOT_SMD:SOT-23_Handsoldering","1"
"Q2","PMV450ENEA","Package_TO_SOT_SMD:SOT-23_Handsoldering","1"
"R1","11k2","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"R2","5k6","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"R3-R8,R14","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","7"
"R9","50k (0.05p)","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"R10,R11","1M (0.05p)","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2"
"R12,R29-R32","3k9","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","5"
"R13","1M5","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"R15","4.26k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"R16","400k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1"
"R17,R18,R22-R24,R28","100k (0.1p)","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","6"
"R19,R20,R25,R26","1M (0.1p)","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4"
"R21,R27","25k (0.1p)","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2"
"RV1","100k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1"
"RV2","2k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1"
"U1","MC7805ACTG","Package_TO_SOT_THT:TO-220-3_Vertical","1"
"U2","MC7905BTG","Package_TO_SOT_THT:TO-220-3_Vertical","1"
"U3,U4","VCAN16A2","analog_computing:VCAN16A2-03S-E3-08","2"
"U5","SI3993CDV-T1-GE3","Package_TO_SOT_SMD:TSOT-23-6_HandSoldering","1"
"U6,U8-U10","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","4"
"U7","LOG200","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias","1"
